category,crop_id,crop_name_fao56,root_depth_min_m,root_depth_max_m,p_table22_for_ETc_5mm_day,p_adjustment_formula,kc_ini,kc_ini_min,kc_ini_max,kc_mid,kc_mid_min,kc_mid_max,kc_end,kc_end_min,kc_end_max,max_crop_height_m,max_crop_height_min_m,max_crop_height_max_m,kc_condition,source,kc_source,notes,kc_notes
Perennial vegetables,artichokes,Artichokes,0.6,0.9,0.45,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)",0.50,0.5,0.5,1.00,1.0,1.0,0.95,0.95,0.95,0.7,0.7,0.7,standard Table 12 row,"FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8","FAO Irrigation and Drainage Paper 56, Table 12, Chapter 6",With winter dormancy and initially bare or mulched soil.,
Perennial vegetables,asparagus,Asparagus,1.2,1.8,0.45,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)",0.50,0.5,0.5,0.95,0.95,0.95,0.30,0.3,0.3,0.2-0.8,0.2,0.8,standard Table 12 row,"FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8","FAO Irrigation and Drainage Paper 56, Table 12, Chapter 6",With winter dormancy and initially bare or mulched soil.,Kc usually remains at Kc_ini during spear harvest; Kc_mid is for regrowth after harvest termination.
Perennial vegetables,mint,Mint,0.4,0.8,0.4,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)",0.60,0.6,0.6,1.15,1.15,1.15,1.10,1.1,1.1,0.6-0.8,0.6,0.8,standard Table 12 row,"FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8","FAO Irrigation and Drainage Paper 56, Table 12, Chapter 6",With winter dormancy and initially bare or mulched soil.,
Perennial vegetables,strawberries,Strawberries,0.2,0.3,0.2,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)",0.40,0.4,0.4,0.85,0.85,0.85,0.75,0.75,0.75,0.2,0.2,0.2,standard Table 12 row,"FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8","FAO Irrigation and Drainage Paper 56, Table 12, Chapter 6",With winter dormancy and initially bare or mulched soil.,
Fibre crops,cotton,Cotton,1.0,1.7,0.65,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)",0.35,0.35,0.35,1.15-1.20,1.15,1.2,0.70-0.50,0.5,0.7,1.2-1.5,1.2,1.5,standard Table 12 row,"FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8","FAO Irrigation and Drainage Paper 56, Table 12, Chapter 6",,
Fibre crops,flax,Flax,1.0,1.5,0.5,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)",0.35,0.35,0.35,1.10,1.1,1.1,0.25,0.25,0.25,1.2,1.2,1.2,standard Table 12 row,"FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8","FAO Irrigation and Drainage Paper 56, Table 12, Chapter 6",,
Fibre crops,sisal,Sisal,0.5,1.0,0.8,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)",0.35,0.35,0.35,0.4-0.7,0.4,0.7,0.4-0.7,0.4,0.7,1.5,1.5,1.5,standard Table 12 row,"FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8","FAO Irrigation and Drainage Paper 56, Table 12, Chapter 6",,"Kc depends on planting density and water management, including intentional moisture stress."
Oil crops,castorbean,Castorbean (Ricinus),1.0,2.0,0.5,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)",0.35,0.35,0.35,1.15,1.15,1.15,0.55,0.55,0.55,0.3,0.3,0.3,standard Table 12 row,"FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8","FAO Irrigation and Drainage Paper 56, Table 12, Chapter 6",,
Oil crops,rapeseed_canola,"Rapeseed, Canola",1.0,1.5,0.6,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)",0.35,0.35,0.35,1.0-1.15,1.0,1.15,0.35,0.35,0.35,0.6,0.6,0.6,standard Table 12 row,"FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8","FAO Irrigation and Drainage Paper 56, Table 12, Chapter 6",,Lower Kc_mid values are for rainfed crops with less dense plant populations.
Oil crops,safflower,Safflower,1.0,2.0,0.6,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)",0.35,0.35,0.35,1.0-1.15,1.0,1.15,0.25,0.25,0.25,0.8,0.8,0.8,standard Table 12 row,"FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8","FAO Irrigation and Drainage Paper 56, Table 12, Chapter 6",,Lower Kc_mid values are for rainfed crops with less dense plant populations.
Oil crops,sesame,Sesame,1.0,1.5,0.6,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)",0.35,0.35,0.35,1.10,1.1,1.1,0.25,0.25,0.25,1.0,1.0,1.0,standard Table 12 row,"FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8","FAO Irrigation and Drainage Paper 56, Table 12, Chapter 6",,
Oil crops,sunflower,Sunflower,0.8,1.5,0.45,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)",0.35,0.35,0.35,1.0-1.15,1.0,1.15,0.35,0.35,0.35,2.0,2.0,2.0,standard Table 12 row,"FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8","FAO Irrigation and Drainage Paper 56, Table 12, Chapter 6",,Lower Kc_mid values are for rainfed crops with less dense plant populations.
Cereals,barley,Barley,1.0,1.5,0.55,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)",0.30,0.3,0.3,1.15,1.15,1.15,0.25,0.25,0.25,1,1.0,1.0,standard Table 12 row,"FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8","FAO Irrigation and Drainage Paper 56, Table 12, Chapter 6",,
Cereals,oats,Oats,1.0,1.5,0.55,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)",0.30,0.3,0.3,1.15,1.15,1.15,0.25,0.25,0.25,1,1.0,1.0,standard Table 12 row,"FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8","FAO Irrigation and Drainage Paper 56, Table 12, Chapter 6",,
Cereals,spring_wheat,Spring Wheat,1.0,1.5,0.55,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)",0.30,0.3,0.3,1.15,1.15,1.15,0.25-0.40,0.25,0.4,1,1.0,1.0,standard Table 12 row,"FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8","FAO Irrigation and Drainage Paper 56, Table 12, Chapter 6",,Higher Kc_end value is for hand-harvested crops.
Cereals,winter_wheat,Winter Wheat,1.5,1.8,0.55,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)",0.40-0.70,0.4,0.7,1.15,1.15,1.15,0.25-0.40,0.25,0.4,1,1.0,1.0,combined winter wheat variants,"FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8","FAO Irrigation and Drainage Paper 56, Table 12, Chapter 6",,FAO-56 Table 12 separates frozen-soil Kc_ini=0.40 and non-frozen-soil Kc_ini=0.70. Higher Kc_end value is for hand-harvested crops.
